news,masked headline,ans,predicted_ans,calculation,response
"(Jun 12, 2012  1:39 AM CDT) Democrat Ron Barber is heading into today's special election in Arizona to replace Gabrielle Giffords with a healthy lead, according to Public Policy Polling. The Democratic-leaning pollsters say that Barber, a senior Giffords aide who was critically injured in the mass shooting last year that killed six people and left Giffords with a gunshot wound to the head, is leading Iraq vet Jesse Kelly 53% to 41%, reports the Washington Post. Democratic insiders, however, say their own polling has shown a much tighter race. Barber, who has distanced himself from President Obama for much of the race, told CNN last night that he plans to vote for Obama in November  because quite clearly his policies will benefit the middle class much more than his opponent.  Giffords' husband, astronaut Mark Kelly, says today's vote will bring closure to her career. Whoever wins may not have much time to make his mark on the House: The victor will serve the rest of Giffords' term but will be up for re-election in November.",Poll: Dem Ahead <MASK> Points in Giffords Special Election,12,12,Copy(12),<MASK> = 12
"(Feb 20, 2014  11:21 AM) When Ed Hale asked his future wife's parents for her hand in marriage, she had just been in an awful car accident and a long journey to recovery was ahead. They said no, but he persisted, telling them,  I will care for her the rest of my life if I have to.  Ed and Floreen Hale were married in 1953, and more than 60 years later, they both lay dying—in separate New York hospitals. Determined to be with the wife he'd pampered for decades, Ed convinced the hospitals to pull some strings, and he ended up in a bed right next to hers, so close they could hold hands. Floreen died on February 7, followed less than 36 hours later by Ed.  I think it was so beautiful the way it happened,  says a niece.  It is a true love story.  One of the Hales' three children, their only daughter, tells WGRZ that though the experience has been terrible for those who loved Ed and Floreen, she is amazed by it:  [My mom] would tell me many, many, times for many, many years, 'I'm going with him, I'm not going to live without your father. I'm going with him.' I'd often wonder, how can that be possible?  And as for her father's long-ago promise to his wife's parents,  He followed that commitment to his last breath,  she says. She tells Orleans Hub,  He was a gentleman right up to the end, waiting for her to go first.",Couple Married <MASK> Years Die 36 Hours Apart,60,60,Copy(60),<MASK> = 60
"(Mar 29, 2012  10:16 AM CDT) With Circuit City now long gone, everything should be coming up roses for Best Buy, right? No such luck. America's biggest electronics retailer today announced that it will be shuttering 50 of its big-box stores after posting a fiscal fourth quarter loss that was due partly to restructuring charges. It has other big changes planned: a new compensation model for employees tied in part to customer service; 100 new Best Buy Mobile stores; $800 million in cost cuts in three years; and a goal to increase online revenue 15%. Writing for CNET, Larry Dignan sums up Best Buy's problem thusly:  It can't be the showroom for electronic sales online.  Best Buy's biggest foe is, of course, Amazon, and Dignan believes the only way to keep up in an e-commerce world is to improve customer service. Best Buy appears to have gotten the memo: It plans to bulk up its loyalty programs (sample perk: free Geek Squad house call for Reward Zone Silver members), switch to free shipping, and make returns easier. But Dignan still sees two issues: The company is selling more Apple products, which return less of a profit for Best Buy, and, well, there's still Amazon.","With Eye on Amazon, Best Buy to Close <MASK> Stores",50,50,Copy(50),<MASK> = 50
"(Jul 22, 2011  8:17 AM CDT) An overloaded double-decker bus burst into flames on a highway in central China early today, killing 41 people on board. The official Xinhua News Agency says six passengers managed to escape the blaze in Henan province's Xinyang city and were all hospitalized, with one in critical condition. The sleeper coach had a 35-passenger limit but was carrying 47 people. Officials say they will have to use DNA tests to identify the bodies because they were so badly burned. It is unclear what caused the blaze and an investigation is under way. The Xinhua story included news photos that showed the charred bus frame stopped in a median between two highway lanes. The bunk beds were burnt down to their metal frames.",<MASK> Killed in China Bus Fire,41,41,Copy(41),41 = 41 Killed in China Bus Fire
"(Dec 16, 2013  12:56 PM) Before Jahi McMath went in for surgery to have her tonsils removed, the 13-year-old's mother assured the nervous girl everything would be OK.  I told her this surgery is to make you better,  says mom Nailah Winkfield. But now Jahi is on life support even as her family tries to comprehend what went wrong. The California teen was having her tonsils removed in an attempt to alleviate her sleep apnea, but after the surgery at Oakland Children's Hospital last Monday, something went wrong while she was in recovery. She was initially awake and talking, but within 30 minutes was choking on her own blood and couldn't speak, NBC Bay Area reports. She continued to bleed from her nose and mouth, KTVU reports.  My daughter had actual clots sliding out of her mouth and they gave me a cup and said, 'here catch them with the cup so we can measure them,  Winkfield tells ABC Local. Adds Jahi's grandmother, herself a nurse at a different facility,  I went in and I said 'is this normal, do you guys find this to be normal?' And they said 'I don't really know,' and I said 'well then get a doctor.'  An uncle claims that the family had to suction the blood themselves when no staff immediately responded. Jahi ultimately went into cardiac arrest, and though she was revived, she is now brain-dead. The family, which says hospital staff is pressuring them to turn off life support, wants an investigation. Doctors say the teen is not expected to recover, CBS Local reports.","Girl, <MASK>, Brain-Dead After Routine Tonsil Surgery",13,13,Copy(13),<MASK> = 13
"(Jul 18, 2018  4:44 PM CDT) On Friday, two friends became the proud new owners of a California ghost town. Cerro Gordo, a 300-acre town nestled in the Inyo Mountains not far from Death Valley, has a  Wild West  history thanks to the discovery of silver there in 1865; within four years, mining operations made it the largest producer of silver and lead in the state, and it later became the largest producer of zinc carbonates in the entire country. But that era ended, and by 1950, Cerro Gordo was basically abandoned. The previous owners, brothers who inherited the town from their family—the property listing says the town had been owned by the same family for decades—decided to sell it while attempting to keep its history intact, and received a dozen serious offers after announcing the sale in June. The original asking price was $925000, but Brent Underwood and Jon Bier ended up purchasing it for $1.4 million, the New York Times reports. The entrepreneurs' plan is to revive the town, developing it into a destination while preserving its history. There are nearly two dozen buildings on the property, the San Francisco Chronicle reports, including a church and theater, a general store, a museum, a two-story hotel, an eight-bed bunkhouse, and of course a saloon; in addition to its iconic swinging doors and two pianos, the saloon features a bloodstain underneath three bullet holes on one wall. (The real estate agent tells CNN the town  averaged a murder a week  at the peak of the mining era.) Its caretaker—he's been there 21 years, NBC LA reports, and is currently the only person living in the town—will stay there as buildings are restored. Underwood and Bier plan to move there in August, the Sacramento Bee reports. Among other things, they plan to build an observation deck; Mount Whitney and Death Valley National Park can be seen from parts of the town.  You very much feel like you’re back in time,  Underwood says.",Why <MASK> Friends Spent $1.4M on a Ghost Town,2,,"Add(Span(Brent Underwood),Span(Jon Bier))",<MASK> = Two
"(Jun 18, 2009  7:23 AM CDT) A suicide bombing outside a hotel in western Somalia killed at least 20 people today including the national security minister. The Somali president accused al-Qaeda of being behind the attack. A witness said a small car headed toward the gate of the Medina Hotel in Belet Weyne, then drove into vehicles leaving the hotel and exploded. The president added that the attack had also killed a senior Somali diplomat.  It was an act of terrorism and it is part of the terrorist attack on our people,  Sheik Sharif Sheik Ahmed told journalists. The bombing came after a fierce overnight battle between the government and Islamic insurgents in Mogadishu that left 17 people dead.",<MASK> Killed in Somali Bombing,20,20,Copy(20),20 =  at least 20
"(Nov 4, 2019  2:43 AM) A 1-ton boulder known as Wizard Rock disappeared from Prescott National Forest in Arizona and then  magically  reappeared weeks later. The United States Forest Service says visitors reported around two weeks ago that the well-known rock, a black boulder with white quartz running through it, had vanished from its usual site along state route 89, ABC reports. Trails and Wilderness Manager Jason Williams tells the Arizona Republic that whoever took the rock must have used heavy equipment.  The easy way to do it would be a back hoe,  he says.  But, if you had a trailer positioned properly and didn’t mind beating some things up you might be able to do it with a Bobcat.  It is illegal to remove rocks, trees, and other items from national forests without a permit, though the Forest Service says it is just glad to have the boulder back.  We are thrilled the Wizard Rock was returned, and are grateful that whoever took it was conscientious enough to give it back to the public,  district ranger Sarah Clawson said in a statement.  National forests provide so many benefits to the American people, and when something like this happens, it highlights the intrinsic value of natural beauty in all its forms.  Wizard Rock might not be gathering much moss in its current location—park officials are considering moving it to a new site so  its beauty and uniqueness can be more easily seen by visitors.",Stolen <MASK>-Ton 'Wizard Rock' Reappears in Arizona Forest,1,1,Copy(1),<MASK> = 1
"(Nov 12, 2018  7:54 AM) A longtime adviser to Hillary Clinton has made a prediction in the Wall Street Journal that will be very good news to some Democratic voters and very bad news to others: Hillary Clinton is running again. So writes Mark Penn, a pollster and adviser to the Clintons from 1995 to 2008, in an op-ed co-authored with Andrew Stein, president of the New York City Council. Their premise is that Clinton will return to the Hillary Clinton of old,  the universal-health-care-promoting progressive firebrand of 1994.  Think of it as  Hillary Clinton 4.0.  In earlier iterations, version 2.0 lost to Barack Obama as a centrist and version 3.0 lost to Donald Trump after blowing it with white, middle-class voters. The new version of Clinton, however, has learned from all these mistakes.  Clinton has a 75% approval rating among Democrats, an unfinished mission to be the first female president, and a personal grievance against Mr. Trump, whose supporters pilloried her with chants of 'Lock her up!,'  the authors write.  This must be avenged.  She's also had two years to assess her defeat to Trump and what she did wrong. What about the new generation of Democrats? They proved they're not ready for prime time with the Brett Kavanaugh hearings. Meanwhile, Mike Bloomberg will support her rather than run against her, they write, and Joe Biden wouldn't stand a chance. Clinton might not announce early, perhaps not until after Iowa,  but rest assured that, one way or another, Hillary 4.0 is on the way.  Click to read the full op-ed.",'Hillary <MASK>' Is Running. Bet On It,4,4,Copy(4.0),<MASK> = 4.0
"(Apr 17, 2013  6:29 PM CDT) Boston University has identified the third fatality in the marathon bombings as grad student Lingzi Lu of China, reports the Washington Post. Lu was pursuing her advanced degree in math and statistics after graduating from the Beijing Institute of Technology.  She was well on her way,  says the chairman of the BU department.  It's a senseless loss of a young scientist.  A friend recalls her as  sweet and nice,  and the New York Times notes that she had posted a photo on her Weibo account, a Twitter-like service popular in China, the morning of her death. It was a photo of Chinese fried bread with the caption,  My wonderful breakfast.  The two others killed were 29-year-old Krystle Campbell and 8-year-old Martin Richard.",<MASK>rd Victim: 'Senseless Loss of Young Scientist',3,,Trans(third),"<MASK> = ""3rd"""
"(Jan 15, 2008  6:05 AM) Merrill Lynch has reached into the deep pockets of foreign investors once again, pulling in a $6.6-billion lifeline today from a consortium of investors that include Japan’s Mizuho Financial Group and the Kuwait Investment Authority, the Wall Street Journal reports. In December, Merrill received a $5-billion cash infusion from a fund run by the government of Singapore. Strengthening Merrill’s bottom line is key for CEO John Thain, hired Dec. 1 as subprime mortgage losses led to $8.4 billion in writedowns and the biggest loss in Merrill’s history. Merrill’s stock plunged 42% in 2007. Other Wall Street firms have sold billion-dollar stakes to foreign governments as they’ve attempted to recapitalize, including Citigroup, Morgan Stanley, Bear Stearns, and UBS.",Merrill Hauls in $<MASK>B Lifeline,6.6,6.6,Copy(6.6),<MASK> = 6.6
"(Nov 23, 2011  2:14 PM) Another dismal travel tale from the world of packed airplanes: A US Airways passenger flying from Anchorage to Philadelphia had to stand for nearly all of the seven-hour flight, reports the consumer advocacy blog Elliott.org. The problem? The airline booked a late-boarding passenger who weighed in the neighborhood of 400 pounds without requiring that he buy a second seat. Flight attendants were apparently sympathetic and acknowledged the gate agent's error, but couldn't do much because the plane was fully booked.  It did not allow me to use my seatbelt during takeoff and landing as well as required me to stand in the aisle and galley area for most of the seven-hour plus flight,  says the out-of-luck seatmate. US Airways offered him a $200 voucher for another flight, but he wants a full refund. The blog has taken up his case:  This might be one of those rare cases when a full refund is in order,  writes Christopher Elliott.",Passenger Has to Stand for <MASK>-Hour Flight,7,7,Trans(seven),<MASK> = 7
"(Mar 14, 2014  2:29 PM CDT) It's got a washer and dryer, two HD televisions, radiant floor heat, 29683 miles, and two famous owners: Todd and Sarah Palin. Yes, the Palins are selling the bus they used to tool around the country as part of Sarah's One Nation tour in 2011, reports the Daily News. The asking price for the 2004 Country Coach Lexa is a mere $279000. In a Facebook post, Todd explains that they're  downsizing.  His wife  loves to drive and really admires those hardcore lady RVers who maneuver their rigs and even haul trailers behind, but Sarah humbly admits there must be a better way than her white-knuckling on the highways behind the wheel of our Lexa,  he writes.  A smaller rig may do the trick for her.  The listing and photos are here.",Sarah Palin's Bus Can Be Yours for $<MASK>K,279,279,"Paraphrase(279,000,k)",<MASK> = 279
"(Jul 2, 2015  7:44 AM CDT) It's a rare  Jobs Thursday  due to tomorrow's holiday, and so America learned a day earlier than usual that the unemployment rate fell to 5.3%, with  a solid  223000 jobs added in June, per the AP. That's a tad bit better and worse than expectations, per the Wall Street Journal, which were 5.4% and 233000 jobs. The rate is also a seven-year low, but writing for the Journal, Michael J. Casey brands the news an  anticlimax. Below consensus but bang in the range of steady and stable growth. No big changes to rate outlook to come from this headline at least.  (The AP takes a difference stance:  The numbers show the job market moving close to full health and raising expectations that the Federal Reserve will start raising interest rates as early as September.  Before the numbers hit, Paul Vigna, also writing for the Journal, wasn't expecting the report to rattle the rate outlook much. His take:  With two more jobs reports coming before the Fed’s September meeting, the one at which many people now think they will begin hiking rates, the June report could say almost anything. The July and August reports will be fresher and more important in swaying the Fed’s decision on rates, is the thinking.  Among the gloomier details: The percentage of Americans working or looking for work has hit a 38-year low of 62.6%, which Casey sees as a reminder that  there is still a big overhang of unemployable people in the US.  There were no gains in average hourly pay, and the April and May numbers were revised downward by 60000 jobs.","In 'Anticlimax,' Jobless Rate Sinks to <MASK>%",5.3,5.3,Copy(5.3),<MASK> = 5.3
"(Apr 24, 2020  1:31 PM CDT) It's a milestone no one wanted to see: more than 50000 COVID-19 deaths have been confirmed in the US, with more than 880000 cases overall, the Wall Street Journal reports. And that death toll may actually be much higher, as the official CDC count only includes confirmed coronavirus cases, not suspected ones, the Washington Post notes. A month ago, there were about 700 dead in the US. Al Jazeera notes New York is still the state suffering the most, with upward of 263000 cases overall and more than 16000 deaths. The latest stats out of Johns Hopkins University, meanwhile, show that the worldwide total of virus cases is more than 2.7 million, with nearly 194000 deaths. That means the number of cases in the US account for nearly a third of all the cases in the world, the WSJ notes. House Speaker Nancy Pelosi called the latest development  staggering,  saying at her weekly presser on Friday that  many people, as am I, are quite shaken  by it, per CNN. Meanwhile, some states already are starting to slowly reopen to mitigate the economic pain, a move that health experts warn could backfire.  We don't want to open things up, have a huge surge in cases, and have to lock everything down again,  a rep from the Johns Hopkins Center for Health Security tells the WSJ.  That would be even more detrimental to our society and our economy if we have to keep yo-yoing back and forth.","A Month Ago in US, <MASK> Had Died From Virus. Now It's 50K",700,700,Copy(700),<MASK> = 700
"(Nov 17, 2009  2:30 AM) Terror suspects have been paid over $1 million in living expenses in the last two years under a controversial British program that keeps them under virtual house arrest. The suspects—who security services say pose a threat, but who can't be prosecuted because evidence against them is too sensitive to disclose in court—have received funds for accommodations, phone bills, and other expenses on top of welfare payments, the Telegraph reports. Opposition lawmakers say the sums paid out for living expenses are one of many reasons why the program, which currently includes 13 suspects, should be scrapped. The system  denies due process to the defendant, does not provide a reliable remedy to the security problem posed by terrorist suspects, and on top of all that costs hundreds of thousands of pounds,  complained a Conservative politician said.",Living Costs for UK Terror Suspects Top $<MASK>M,1,1,Copy(1),<MASK> = 1
"(Jan 10, 2017  11:49 AM) A young reporter for the Daily Telegraph was journeying from Poland to Germany in August 1939 when she spotted what would turn out to be the  scoop of the century : German troops huddled along the border, per the BBC. Adolf Hitler invaded Poland on Sept. 1, 1939, jump-starting World War II, and although Clare Hollingworth's Telegraph story on those troops didn't cite her by name (articles often didn't have bylines back then), it was her reporting coup. Hollingworth died Tuesday in Hong Kong, her home for more than three decades, at the age of 105, a family friend confirmed to AFP, via the Guardian.  We are sad to announce that after an illustrious career spanning a century of news, celebrated war correspondent Clare Hollingworth died this evening in Hong Kong,  a post on the Celebrate Clare Hollingworth Facebook page read. The headline that accompanied her breaking story in the Telegraph, after she'd been on the job for less than a week, read  1000 tanks massed on Polish border—Ten divisions reported ready for swift [action].  She also scooped the Nazis spilling over into Poland a few days later, as well as penned an exclusive on British spy Kim Philby in 1963, though the Guardian didn't run it for fear of being sued for libel. Her reporting work took her all over the world, including to conflicts in Vietnam, the Middle East, and China. She even came close to death in 1946 when she was just yards away from a bomb blast in Jerusalem that killed almost 100 people. She nabbed the James Cameron Award for Journalism in 1994, as well as other reporting honors. She's survived by a stepdaughter, Hilary, as well as a niece, Jennifer, and a nephew, Richard. The Guardian delves more into her fascinating life.",Cub Reporter Who Scooped Start of WWII Dies at <MASK>,105,105,Copy(105),<MASK> = 105
"(Jul 1, 2013  7:02 AM CDT) Less than a week after Wendy Davis filibustered the Texas bill that would shutter most of the state's abortion clinics, state lawmakers have returned to the Capitol to take up the bill again. The first time around, the bill failed on the last day of a special legislative session; Gov. Rick Perry called for a second special session to start today, and Republicans are vowing to get the job done faster this time. The process must start over entirely, the AP reports, but as long as supporters of the bill can hustle a bit, there likely won't be a repeat of Davis' feat because it will come to a final vote while there's still too much time left in the session for a filibuster. ( No human being can talk for two weeks,  Lt. Gov. David Dewhurst said Saturday, according to the Dallas Morning News. Davis was also helped along by hundreds of protesters who cheered until the clock ran out, and opponents of the bill are planning to mobilize again. But this time around, there may be  more presence by law enforcement  to ensure that doesn't happen again, says one Republican state senator. The state troopers wouldn't comment on specific plans, but a spokesperson acknowledged that  when necessary, we will adjust our security measures as a situation merits.  The legislation has already been resubmitted, the Los Angeles Times reports. The session begins at 2pm, and the bill could come up in committee as soon as tomorrow. But it may not come up for a vote this week, if lawmakers break for the holiday. The session can last up to 30 days, but  we should be out of here in 10 days to two weeks,  predicted one Republican state senator. Meanwhile, Davis appeared on three talk shows yesterday, blasting Republicans and warning them that  the eyes of the country are watching.","Texas Lawmakers Return for Abortion Battle, Take <MASK>",2,2,Copy(2),"Texas Lawmakers Return for Abortion Battle, Take 2"
"(Aug 10, 2014  9:13 AM CDT) The Islamic State's assault on the Yazidi minority community is every bit as horrific as might be expected, with Iraq's human rights minister telling Reuters today that the militant group has killed at least 500 Yazidis—and buried some of those alive.   We have striking evidence obtained from Yazidis fleeing Sinjar and some who escaped death, and also crime scene images that show indisputably that the gangs of the Islamic States have executed at least 500 Yazidis after seizing Sinjar,  Mohammed Shia al-Sudani said, calling the killings a  vicious atrocity.  He added that some 300 women have been taken as slaves. Sudani's claim comes as the Telegraph notes that the Islamic State has threatened hundreds of Yazidis in towns under its control with execution if they refused to convert to Islam by today. That deadline has now passed, notes Reuters; it's unclear if the slaughter referenced by Sudani involves the Yazidis under threat to convert. Meanwhile, the BBC reports that Britain has made its first airdrop of humanitarian aid to the Yazidis.  The world has been shocked by the plight of the Yazidi community,  says a minister.  They face appalling conditions, cut off on Mount Sinjar after fleeing persecution.","Iraq: Militants Killed <MASK> Yazidis, Buried Some Alive",500,500,Copy(500),<MASK> = 500
"(Apr 13, 2008  10:48 PM CDT) Ailing bank Wachovia will get a $6 billion-$7 billion shot in the arm from outside investors, the Wall Street Journal reports. Specifics of the capital infusion, designed to help the company recover from the credit crisis, haven’t been finalized. Details may be revealed when the company reports first-quarter earnings Monday; it moved the announcement up from Friday without explanation. In exchange, the investor group could receive company shares for at least $23 each, a 15% discount on Wachovia’s Friday share price. A deal would bolster the company’s credibility on Wall Street but could anger shareholders not party to the agreement. Wachovia raised $8.3 billion from a similar capital infusion earlier this year.",$<MASK>B From Outside Investors Will Shore Up Wachovia,6,7-Jun,Copy(6),<MASK> = 6-7
"(Nov 1, 2017  12:09 PM CDT)  I carried my own child. I didn't know he was mine.  That's what a California woman is saying after she became pregnant with her own son while serving as a surrogate for a Chinese couple. After connecting with the couple through a surrogacy agency in California, Jessica Allen, 31, was implanted with an embryo in April 2016, reports ABC News. Six weeks later, Allen was told she was expecting twins and assumed the embryo had split in two. But that wasn't in fact the case. A month after Allen gave birth in December, a DNA test showed one of the two babies had developed from the embryo, while the other was Allen's biological child, reports the New York Post.  We were floored,  says Allen, who, in a rare case of superfetation, had become pregnant while already pregnant, per ABC. A doctor tells Live Science that fewer than a dozen cases of superfetation are recorded in medical literature. Though more cases may go unreported or even unnoticed, superfetation is extremely uncommon because, for one thing, a woman usually stops ovulating when pregnant. After Allen was implanted with the embryo, however, her ovaries released another egg that was fertilized. Allen had no contact with the two infants immediately after birth, but she says she knew they weren't twins when she saw a photo showing  one was much lighter than the other,  per ABC; Allen is white, while her husband is black. The Post describes the complicated legal battle that followed before the couple gained custody of their son in February. They now describe him as an unexpected treasure. (An  angel  surrogate delivered actual twins.)","Rare Case Involves 1 Surrogate, <MASK> Babies, 2 Biological Moms",2,2,Trans(two),<MASK> = 2
"(Feb 1, 2012  3:24 PM) At some point next year, the US will no longer be fighting a war in Afghanistan for the first time in a decade.  Hopefully by mid to the latter part of 2013 we’ll be able to make a transition from a combat role to a training, advise, and assist role,  defense chief Leon Panetta told reporters today. That applies to NATO troops as well, and it's the first time the Obama administration has put a date on it, reports the New York Times and Washington Post.  It’s still a pretty robust role that we’ll be engaged in,  Panetta cautioned, without going into specifics. But  it’s not going to be a kind of formal combat role that we are now.  A previously announced timeline calls for all US troops to be home by the end of 2014, but it wasn't clear until today when combat duties would end. The US still has 90000 troops in Afghanistan, though 22000 are scheduled to come home this fall. Click to read a report saying the Taliban is just waiting to swoop in.",Panetta: US Combat Role in Afghanistan Over in <MASK>,2013,2013,Copy(2013),<MASK> = 2013
"(May 21, 2019  1:26 AM CDT) In the latest blow to brick-and-mortar retailing, Dressbarn says it is going out of business and closing all 650 stores nationwide.  This decision was difficult, but necessary, as the Dressbarn chain has not been operating at an acceptable level of profitability in today's retail environment,  Dressbarn chief financial officer Steven Taylor said in a statement, announcing that the women's apparel chain plans to begin a  wind down of its retail operations.  The chain, which has been around for more than 50 years, said stores and the Dressbarn website will continue operating normally for now, and employees will be notified when store closing dates have been determined, CNBC reports.  During the wind-down process, we will continue to provide our customers with the same great experience both in-store and online, offering them even better deals and value,  Taylor said. Dressbarn is owned by Ascena Retail Group, which also owns chains including Ann Taylor, Loft, and Lane Bryant. USA Today reports that with the approximately 650 Dressbarn locations closing, there have now been more than 7000 store closures announced in the US so far this year—more than the 5864 closings in all of 2018, but still below the record 8139 store closings in 2017. (The closures include what could be America's biggest-ever retail liquidation.)",Dressbarn Is Closing All <MASK> Stores,650,650,Copy(650),<DRESSBARN> is Closing All 650 Stores.
"(Jul 29, 2020  3:33 AM CDT) Jeff Bezos' ex-wife revealed some big news Tuesday: She's already given away $1.7 billion of her fortune, and she has a new name. She's now MacKenzie Scott, having reverted from MacKenzie Bezos  back to middle name I grew up with, after my grandfather Scott,  she tweeted (just her second tweet ever; her first announced the finalization of her divorce). In a Medium post, she gives an update on the commitment she made last year to donate most of her fortune, and offers a detailed rundown of the 116 organizations that received portions of the aforementioned $1.7 billion. The areas of need covered: racial equity, LGBTQ+ equity, gender equity, economic mobility, empathy & bridging divides, functional democracy, public health, global development, and climate change. The BBC reports Scott is worth more than $62 billion.",Bezos' Ex: I've Already Given Away $<MASK>B,1.7,1.7,Copy(1.7),<MASK> = 1.7
"(Mar 13, 2008  7:31 AM CDT) Carlyle Capital announced overnight that it is defaulting on $16.6 billion in debt, and its creditors are likely to take possession of its remaining assets. The latest casualty of the credit catastrophe is a major embarrassment for Carlyle Group, the private equity firm whose executives own 15% of the fund, reports the Wall Street Journal. Carlyle's fall demonstrates how the world's biggest banks are now playing hardball with their best clients. Carlyle's troubles came from borrowing too much money—an  astronomical  32 times what it managed. Last week the fund was forced to plead with Deutsche Bank, JP Morgan, Chase and other lenders to hold off on margin calls. But the protestations fell on deaf ears, and the banks began selling off the fund's assets. This morning in Amsterdam, where its shares trade, Carlyle Capital's shares were in free fall, dropping 70% to trade at 83¢ a share.",Carlyle Near Collapse After Defaulting on $<MASK>B,16,16.6,"SRound(16.6,0)",<MASK> = 16.6
"(Jun 3, 2008  5:30 PM CDT) Starbucks will offer its customers 2 hours of free Wi-Fi a day starting next week, its latest effort to snap out of a sales slump, USA Today reports. Those eligible need a Starbucks Card and must register online with the company's rewards program. Critics say the move isn’t the severe re-imagining the firm needs, but Starbucks argues the Internet access will pump up the already successful Starbucks Card program  They are desperate to keep the traffic going in their stores,  says a branding expert.  But free Internet access won't get you there. Starbucks needs to fundamentally rethink the environment of its stores.",Starbucks Offers Free Wi-Fi for <MASK> Hours a Day,2,2,Copy(2),<MASK> = 2
"(Apr 2, 2018  9:40 AM CDT) Winnie Madikizela-Mandela, the former wife of South Africa's Nelson Mandela and an anti-apartheid activist in her own right, has died at age 81, reports the BBC. The two were married nearly 40 years, though Nelson Mandela was imprisoned for about 30 of those years. They divorced in 1996, and the Washington Post notes that she was still referred to as  Mother of the Nation  long after their famous split.  She died after a long illness, for which she had been in and out of hospital since the start of the year,  says a family spokesman. Madikizela-Mandela's own activism against the apartheid regime led to her being imprisoned for months and spending years under house arrest, per the AP. Her political activism was marred by a kidnapping and assault conviction in 1991, for which she was fined. She faced these allegations again during the 1997 hearings before the Truth and Reconciliation Commission, a panel that investigated apartheid-era crimes. As a parliamentarian after South Africa's first all-race elections, she was convicted of fraud. Still, she was widely venerated in South Africa for her role in fighting white minority rule.",Winnie Mandela Is Dead at <MASK>,81,81,Copy(81),<MASK> = 81
"(Feb 3, 2018  11:44 AM) A bicyclist is suing the city of Portland for $566000 after he hit a pair of concrete islands on his way home from the World Naked Bike Ride, causing him to crash and break his nose, arm, and two fingers, the AP reports. According to the Oregonian, the lawsuit states that a fully-clothed Charles Ziemer was pedaling back to his car after participating in the June 2016 ride when his wheels suddenly struck the islands. The lawsuit faults the city for failing to put reflectors or lights on the islands and situating them in a travel lane. An employee at the Portland city attorney's office says the city doesn't comment on pending litigation. The suit seeks $66000 in medical bills, plus $500000 for pain and suffering.","After Portland's Naked Bike Ride, a $<MASK>K Lawsuit",566,566,"Paraphrase(566,000,K)","After Portland's Naked Bike Ride, a $566K Lawsuit"
"(Aug 15, 2011  10:44 AM CDT) Downtown Auckland is seeing snow for the first time in 80 years today, as a  once in a lifetime  blast of winter weather hits New Zealand.  If Auckland is getting reports of snow flurries now at the warmest point of the day that makes you wonder about what might be coming tonight,  says one forecaster, adding that similar conditions have not been seen in the area since the 1930s. Snow was also reported in Wellington in levels not seen since the 1970s, and in Wanganui for the first time since 1974, the New Zealand Herald reports.",Auckland Sees Snow for <MASK>st Time in 80 Years,1,,Trans(first),"<MASK> = ""the First"""
"(Jul 10, 2017  11:27 AM CDT) The fashion label for Kendall and Kylie Jenner said Sunday it only sold two  vintage  T-shirts with late rapper Tupac Shakur's image on them before pulling the items from stores, the AP reports. The Kendall + Kylie brand released a statement in response to a copyright infringement lawsuit filed Friday by a commercial photographer who shot the images on the shirts. The lawsuit by commercial photographer Michael Miller accused the Jenner sisters of using two images of Shakur without his permission. The label's statement says the shirts with Shakur's image were obtained from a company that had a valid license to sell them. The Kendall + Kylie brand superimposed images of the Jenner sisters or other designs over photos of musicians, including Shakur, Notorious BIG, and Ozzy Osbourne. The statement calls Miller's lawsuit baseless.  The allegations made are completely false,  it notes.  There has been no infringement or violation of anyone's rights.  The shirts sold for $125 apiece, but they were pulled from the marketplace after Osbourne's wife, Sharon, and BIG's mother complained and the label apologized.",Jenners' Response to Lawsuit: We Only Sold <MASK> Tupac Shirts,2,2,Trans(two),Jenners' Response to Lawsuit: We Only Sold 2 Tupac Shirts
"(Feb 25, 2008  6:03 PM) A whopping three in four US voters say the Democrats will pick Barack Obama as presidential nominee, according to a USA Today/Gallup poll released today. Expectations for the Illinois senator beat the poll's error margin for the first time and even bested John McCain's numbers over Mike Huckabee: Only 61% of those polled said McCain would nab the GOP nomination. About half of surveyed Democrats preferred Obama as nominee; 39% said they liked Clinton. Asked about election day, voters were nearly divided, giving McCain a 1% edge over Obama and 4% margin over Clinton. A weekend Gallup poll posted different numbers, reporting that Democratic voters preferred Obama to Clinton by 47% to 45%.",3 in <MASK> Voters Expect Obama Nomination: Poll,4,4,Copy(4),<MASK> = 4
